Catentry ID,Reco1,Reco2,Reco3,Reco4,Reco5,Reco6,Reco7,Reco8
50056957,4758426,50060435,4762493,50056969,50056931,50056961,50056981,50056933
50056959,4758426,50060435,4762493,50056969,50056931,50056961,50056981,50056933
50056961,4758426,50060435,4762493,50056969,50056931,50056981,50056933,50109544
50056963,4762001,50056979,4762471,50060449,50056919,50056971,50056951,50056943
50056965,4762001,50056979,4762471,50060449,50056919,50056971,50056951,50056943
50056967,50056921,50056987,50109550,4758502,4762471,50056919,,
50056969,4758426,50060435,4762493,50056931,50056961,50056981,50056933,50109544
50056971,50056951,50056943,50109546,4758462,4762487,50060443,50056973,50091148
50056973,4758432,4762487,50060443,50091148,50056971,50056951,50056943,50056979
50056975,50056955,50056929,50109542,4758426,50060435,4762493,50056969,50056931
50056977,4761961,50060421,50056985,4762477,50056947,50056939,50056945,50109548
50056979,4762001,4762471,50060449,50056919,50056971,50056973,50056951,50056943
50056981,4758426,50060435,4762493,50056969,50056931,50056961,50056933,50109544
50056983,4758460,4762461,50060459,50056925,50056969,50056961,50056933,50056975
50056985,4761961,50060421,4762477,50056947,50056939,50056977,50056945,50109548
50056987,50056967,50056921,50109550,4758462,50056971,4762487,50060443,50056973
50056989,3202657,3172577,3202665,3202669,50061971,50056993,50057003,3764661
50056991,50056999,50061965,4767119,4285485,999946334,4717261,3147773,3147779
50056993,3202657,3172577,3202665,3202669,50061971,50057003,50056989,3764661
50056995,3202657,3172577,3202665,3202669,50061971,50056993,50057003,3764661
50056997,50056999,50061965,4767119,4285485,999946334,4717261,3147773,3147779
50056999,50061965,4767119,50056997,4285485,999946334,4717261,3147773,3147779
50057001,50056999,50061965,4767119,4285485,999946334,4717261,3147773,3147779
50057003,3202657,3172577,3202665,3202669,50061971,50056993,4767197,3764661
50057519,3162231,3753205,4718341,50106222,50034688,3382592,,
50057523,4437205,4777059,4740750,3577266,4777864,,,
50057533,50204925,1161253,50422742,50226105,,,,
50057535,50204927,1238679,50089980,50205567,50235787,,,
50057539,50057605,50198095,50210247,50273189,,,,
50057541,50057605,50198095,50210247,50273189,,,,
50057543,50057563,1161253,50422742,50226105,,,,
50057545,50296425,50422734,50205685,50210223,1203815,50198097,50208421,
50057547,50204833,1267009,1203815,1267265,50422734,50198097,50208421,
50057549,50424030,1238679,50089980,50205567,50235787,,,
50057551,50205567,50205689,50204913,50210243,50235787,,,
50057553,3175547,1161253,50422742,50226105,,,,
50057555,3175547,1161253,50422742,50226105,,,,
50057557,3175547,1161253,50422742,50226105,,,,
50057559,50424030,1238679,50089980,50205567,50235787,,,
50057561,50424030,1238679,50089980,50205567,50235787,,,
50057563,50057543,1161253,50422742,50226105,,,,
50057565,3175547,1161253,50422742,50226105,,,,
50057567,50424030,1238679,50089980,50205567,50235787,,,
50057569,50204833,1267009,1203815,1267265,50422734,50198097,50208421,
50057571,50424030,1238679,50089980,50205567,50235787,,,
50057573,50424030,1238679,50089980,50205567,50235787,,,
50057575,50057593,50198095,50210247,50273189,,,,
50057577,3175547,1161253,50422742,50226105,,,,
50057579,50424030,1238679,50089980,50205567,50235787,,,
50057581,3175547,1161253,50422742,50226105,,,,
50057583,50424030,1238679,50089980,50205567,50235787,,,
50057585,50424030,1238679,50089980,50205567,50235787,,,
50057587,50057605,50198095,50210247,50273189,,,,
50057589,50424030,1238679,50089980,50205567,50235787,,,
